"","variable","Créditos Atrasados / Créditos Directos","Créditos Refinanciados y Reestructurados / Créditos Directos","Gastos de Operación / Margen Financiero Total","Periodo","mes","mes2"
"209","TFC",6.39,3.29,51.43,"2011","Marzo","2011-03-31"
"210","Edyficar",4.02,0.4,53.64,"2011","Marzo","2011-03-31"
"211","Compartamos Financiera",4.6,0.18,45.37,"2011","Marzo","2011-03-31"
"212","Confianza",4.64,0.93,67.2,"2011","Marzo","2011-03-31"
"213","Financiera Efectiva",3.94,0,66.4,"2011","Marzo","2011-03-31"
"214","Financiera Universal",3.26,0,190.9,"2011","Marzo","2011-03-31"
"215","Financiera Uno",4.31,0.55,94.07,"2011","Marzo","2011-03-31"
"216","America Financiera",0.93,1.09,77.53,"2011","Marzo","2011-03-31"
"217","Mitsui.Auto.Finance",6.28,0,117.61,"2011","Marzo","2011-03-31"
"218","Total Empresas Financieras",3.58,1.15,52.44,"2011","Marzo","2011-03-31"
"219","CrediScotia",3.27,1.44,47.19,"2011","Abril","2011-04-30"
"220","TFC",7.29,5.08,51.36,"2011","Abril","2011-04-30"
"221","Edyficar",4.11,0.38,53.25,"2011","Abril","2011-04-30"
"222","Compartamos Financiera",5.08,0.17,46.16,"2011","Abril","2011-04-30"
"223","Confianza",4.87,0.89,67.72,"2011","Abril","2011-04-30"
"224","Financiera Efectiva",4.04,0,67,"2011","Abril","2011-04-30"
"225","Financiera Universal",3.61,0,188.99,"2011","Abril","2011-04-30"
"226","Financiera Uno",4.85,0.55,97.33,"2011","Abril","2011-04-30"
"227","America Financiera",0.87,1.01,79.76,"2011","Abril","2011-04-30"
"228","Mitsui.Auto.Finance",5.75,0,109.19,"2011","Abril","2011-04-30"
"229","Total Empresas Financieras",3.72,1.2,53.32,"2011","Abril","2011-04-30"
"230","CrediScotia",3.34,1.35,47.5,"2011","Mayo","2011-05-31"
"231","TFC",6.89,5.47,54.08,"2011","Mayo","2011-05-31"
"232","Edyficar",4.15,0.36,53.17,"2011","Mayo","2011-05-31"
"233","Compartamos Financiera",5.18,0.17,47.48,"2011","Mayo","2011-05-31"
"234","Confianza",4.92,0.81,68.16,"2011","Mayo","2011-05-31"
"235","Financiera Efectiva",4.02,0,66.58,"2011","Mayo","2011-05-31"
"236","Financiera Universal",3.8,0,173.15,"2011","Mayo","2011-05-31"
"237","Financiera Uno",4.53,0.54,99.01,"2011","Mayo","2011-05-31"
"238","America Financiera",0.91,1.02,83.3,"2011","Mayo","2011-05-31"
"239","Mitsui.Auto.Finance",5.29,0,108.03,"2011","Mayo","2011-05-31"
"240","Total Empresas Financieras",3.75,1.16,53.79,"2011","Mayo","2011-05-31"
"241","CrediScotia",3.45,1.33,48.13,"2011","Junio","2011-06-30"
"242","TFC",6.89,5.53,54.12,"2011","Junio","2011-06-30"
"243","Edyficar",4.08,0.34,53.47,"2011","Junio","2011-06-30"
"244","Compartamos Financiera",5.24,0.19,49.1,"2011","Junio","2011-06-30"
"245","Confianza",4.99,0.8,68.78,"2011","Junio","2011-06-30"
"246","Financiera Efectiva",3.78,0,65.63,"2011","Junio","2011-06-30"
"247","Financiera Universal",3.39,0,168.32,"2011","Junio","2011-06-30"
"248","Financiera Uno",4.25,0.48,101.01,"2011","Junio","2011-06-30"
"249","America Financiera",0.84,0.96,83.32,"2011","Junio","2011-06-30"
"250","Mitsui.Auto.Finance",4.9,0,107.62,"2011","Junio","2011-06-30"
"251","Total Empresas Financieras",3.78,1.13,54.37,"2011","Junio","2011-06-30"
"252","CrediScotia",3.32,1.32,47.62,"2011","Julio","2011-07-31"
"253","TFC",7.46,4.74,53.86,"2011","Julio","2011-07-31"
"254","Edyficar",4.18,0.32,53.2,"2011","Julio","2011-07-31"
"255","Compartamos Financiera",5.1,0.17,49.58,"2011","Julio","2011-07-31"
"256","Confianza",5.26,0.74,69.35,"2011","Julio","2011-07-31"
"257","Financiera Efectiva",3.92,0,65.3,"2011","Julio","2011-07-31"
"258","Financiera Universal",3.96,0.01,163.16,"2011","Julio","2011-07-31"
"259","Financiera Uno",4.21,0.57,103.24,"2011","Julio","2011-07-31"
"260","America Financiera",0.85,0.77,83.17,"2011","Julio","2011-07-31"
"261","Mitsui.Auto.Finance",4.94,0,106.99,"2011","Julio","2011-07-31"
"262","Total Empresas Financieras",3.78,1.06,54.16,"2011","Julio","2011-07-31"
"263","CrediScotia",3.4,1.3,47.36,"2011","Agosto","2011-08-31"
"264","TFC",7.56,4.72,53.87,"2011","Agosto","2011-08-31"
"265","Edyficar",4.13,0.32,53.35,"2011","Agosto","2011-08-31"
"266","Compartamos Financiera",5.33,0.17,49.87,"2011","Agosto","2011-08-31"
"267","Confianza",5.35,0.72,69.37,"2011","Agosto","2011-08-31"
"268","Financiera Efectiva",3.86,0,64.46,"2011","Agosto","2011-08-31"
"269","Financiera Universal",4.32,0.04,158.66,"2011","Agosto","2011-08-31"
"270","Financiera Uno",4.42,0.62,100.53,"2011","Agosto","2011-08-31"
"271","America Financiera",0.75,0.68,83.88,"2011","Agosto","2011-08-31"
"272","Mitsui.Auto.Finance",4.42,0,80.13,"2011","Agosto","2011-08-31"
"273","Total Empresas Financieras",3.83,1.03,53.88,"2011","Agosto","2011-08-31"
"274","CrediScotia",3.36,1.32,47.56,"2011","Septiembre","2011-09-30"
"275","TFC",7.48,4.46,52.66,"2011","Septiembre","2011-09-30"
"276","Edyficar",4.11,0.31,53.68,"2011","Septiembre","2011-09-30"
"277","Compartamos Financiera",4.95,0.17,50.3,"2011","Septiembre","2011-09-30"
"278","Confianza",5.04,0.68,70,"2011","Septiembre","2011-09-30"
"279","Financiera Efectiva",3.82,0,64.49,"2011","Septiembre","2011-09-30"
"280","Financiera Universal",3.5,0.15,157.93,"2011","Septiembre","2011-09-30"
"281","Financiera Uno",4.68,0.7,92.67,"2011","Septiembre","2011-09-30"
"282","America Financiera",1.05,0.63,85.89,"2011","Septiembre","2011-09-30"
"283","Mitsui.Auto.Finance",4.22,0,78.79,"2011","Septiembre","2011-09-30"
"284","Total Empresas Financieras",3.77,1.01,53.93,"2011","Septiembre","2011-09-30"
"285","CrediScotia",3.37,1.33,47.24,"2011","Octubre","2011-10-31"
"286","TFC",7.39,4.5,51.73,"2011","Octubre","2011-10-31"
"287","Edyficar",4.14,0.31,53.89,"2011","Octubre","2011-10-31"
"288","Compartamos Financiera",5.08,0.17,50.58,"2011","Octubre","2011-10-31"
"289","Confianza",5.06,0.69,70.04,"2011","Octubre","2011-10-31"
"290","Financiera Efectiva",3.89,0,63.9,"2011","Octubre","2011-10-31"
"291","Financiera Universal",3.19,0.16,151.43,"2011","Octubre","2011-10-31"
"292","Financiera Uno",4.53,0.87,91.21,"2011","Octubre","2011-10-31"
"293","America Financiera",1.21,0.59,86.68,"2011","Octubre","2011-10-31"
"294","Mitsui.Auto.Finance",2.41,0,82.92,"2011","Octubre","2011-10-31"
"295","Total Empresas Financieras",3.78,1.01,53.74,"2011","Octubre","2011-10-31"
"296","CrediScotia",3.23,1.33,47.3,"2011","Noviembre","2011-11-30"
"297","TFC",7.36,4.3,52.51,"2011","Noviembre","2011-11-30"
"298","Edyficar",4.02,0.31,54.39,"2011","Noviembre","2011-11-30"
"299","Compartamos Financiera",5.14,0.17,50.9,"2011","Noviembre","2011-11-30"
"300","Confianza",5.05,0.64,70.08,"2011","Noviembre","2011-11-30"
"301","Financiera Efectiva",3.85,0,64.53,"2011","Noviembre","2011-11-30"
"302","Financiera Universal",3.84,0.25,150.28,"2011","Noviembre","2011-11-30"
"303","Financiera Uno",4.87,1.11,90.3,"2011","Noviembre","2011-11-30"
"304","America Financiera",1.16,0.55,89.55,"2011","Noviembre","2011-11-30"
"305","Mitsui.Auto.Finance",2.25,0,80.49,"2011","Noviembre","2011-11-30"
"306","Total Empresas Financieras",3.69,0.99,54.02,"2011","Noviembre","2011-11-30"
"307","CrediScotia",3.35,1.33,47.53,"2011","Diciembre","2011-12-31"
"308","TFC",5.4,3.59,53.77,"2011","Diciembre","2011-12-31"
"309","Edyficar",4.03,0.3,55.04,"2011","Diciembre","2011-12-31"
"310","Compartamos Financiera",3.58,0.17,51.92,"2011","Diciembre","2011-12-31"
"311","Confianza",4.21,0.64,69.97,"2011","Diciembre","2011-12-31"
"312","Financiera Efectiva",3.84,0,62.67,"2011","Diciembre","2011-12-31"
"313","Financiera Universal",4.27,0.32,148.21,"2011","Diciembre","2011-12-31"
"314","Financiera Uno",4.36,1.2,89.2,"2011","Diciembre","2011-12-31"
"315","America Financiera",0.97,0.57,92.83,"2011","Diciembre","2011-12-31"
"316","Mitsui.Auto.Finance",2.1,0,74.08,"2011","Diciembre","2011-12-31"
"317","Total Empresas Financieras",3.48,0.96,54.34,"2011","Diciembre","2011-12-31"
"318","CrediScotia",3.26,1.33,40.46,"2012","Enero","2012-01-31"
"319","TFC",4.88,3.71,57.19,"2012","Enero","2012-01-31"
"320","Edyficar",4.12,0.28,53.49,"2012","Enero","2012-01-31"
"321","Compartamos Financiera",4.07,0.17,52.82,"2012","Enero","2012-01-31"
"322","Confianza",4.23,0.65,62.71,"2012","Enero","2012-01-31"
"323","Financiera Efectiva",3.91,0,65.07,"2012","Enero","2012-01-31"
"324","Financiera Universal",4.49,0.33,102.61,"2012","Enero","2012-01-31"
"325","Financiera Uno",4.54,1.38,62.55,"2012","Enero","2012-01-31"
"326","America Financiera",1.06,0.55,57.28,"2012","Enero","2012-01-31"
"327","Mitsui.Auto.Finance",2.08,0,57.4,"2012","Enero","2012-01-31"
"328","Total Empresas Financieras",3.48,0.96,48.47,"2012","Enero","2012-01-31"
"329","CrediScotia",3.31,1.33,43.44,"2012","Febrero","2012-02-28"
"330","TFC",5.27,3.84,58.1,"2012","Febrero","2012-02-28"
"331","Edyficar",4.22,0.26,53.37,"2012","Febrero","2012-02-28"
"332","Compartamos Financiera",4.45,0.18,51.5,"2012","Febrero","2012-02-28"
"333","Confianza",4.1,0.65,63.89,"2012","Febrero","2012-02-28"
"334","Financiera Efectiva",3.94,0,65.49,"2012","Febrero","2012-02-28"
"335","Financiera Universal",4.11,0.3,99.75,"2012","Febrero","2012-02-28"
"336","Financiera Uno",4.69,1.49,64.46,"2012","Febrero","2012-02-28"
