"","variable","Créditos Atrasados / Créditos Directos","Créditos Refinanciados y Reestructurados / Créditos Directos","Gastos de Operación / Margen Financiero Total","Periodo","mes","mes2"
"305","BBVA",1.42,1.41,32.49,"2010","Agosto","2010-08-31"
"306","B. del Comercio",2.49,1.17,62.09,"2010","Agosto","2010-08-31"
"307","BCP",1.65,0.5,42.29,"2010","Agosto","2010-08-31"
"308","B. Financiera",3.41,1.49,56.78,"2010","Agosto","2010-08-31"
"309","BIF",1.04,1.51,57.68,"2010","Agosto","2010-08-31"
"310","Scotiabank",1.56,1.75,39.79,"2010","Agosto","2010-08-31"
"311","Citibank",2.79,3.59,60.29,"2010","Agosto","2010-08-31"
"312","Interbank",1.61,0.85,47.14,"2010","Agosto","2010-08-31"
"313","Mibanco",3.3,2.98,45.21,"2010","Agosto","2010-08-31"
"314","GNB",2.54,0.59,96.84,"2010","Agosto","2010-08-31"
"315","Falabella",3.51,3.79,42.55,"2010","Agosto","2010-08-31"
"316","Santander",0.25,0,70.52,"2010","Agosto","2010-08-31"
"317","Ripley",4.04,1.74,54.27,"2010","Agosto","2010-08-31"
"318","Azteca",11.06,0,58.19,"2010","Agosto","2010-08-31"
"319","Deutsche",0,0,60.21,"2010","Agosto","2010-08-31"
"320","Total Banca",1.75,1.19,43.75,"2010","Agosto","2010-08-31"
"321","BBVA",1.26,1.37,32.71,"2010","Septiembre","2010-09-30"
"322","B. del Comercio",2.33,1.35,61.85,"2010","Septiembre","2010-09-30"
"323","BCP",1.49,0.53,42.04,"2010","Septiembre","2010-09-30"
"324","B. Financiera",3.14,1.4,56.8,"2010","Septiembre","2010-09-30"
"325","BIF",0.91,1.48,57.81,"2010","Septiembre","2010-09-30"
"326","Scotiabank",1.54,1.76,40.02,"2010","Septiembre","2010-09-30"
"327","Citibank",3.2,3.81,58.97,"2010","Septiembre","2010-09-30"
"328","Interbank",1.57,0.83,46.49,"2010","Septiembre","2010-09-30"
"329","Mibanco",3.33,2.94,45.91,"2010","Septiembre","2010-09-30"
"330","GNB",2.23,0.48,95.8,"2010","Septiembre","2010-09-30"
"331","Falabella",3.5,3.71,42.55,"2010","Septiembre","2010-09-30"
"332","Santander",0.26,0,69.86,"2010","Septiembre","2010-09-30"
"333","Ripley",4.3,1.73,54.14,"2010","Septiembre","2010-09-30"
"334","Azteca",10.39,0,58.96,"2010","Septiembre","2010-09-30"
"335","Deutsche",0,0,56.37,"2010","Septiembre","2010-09-30"
"336","Total Banca",1.64,1.18,43.64,"2010","Septiembre","2010-09-30"
"337","BBVA",1.15,1.33,33.02,"2010","Octubre","2010-10-31"
"338","B. del Comercio",2.31,1.5,61.74,"2010","Octubre","2010-10-31"
"339","BCP",1.5,0.52,42.09,"2010","Octubre","2010-10-31"
"340","B. Financiera",3.11,1.38,56.85,"2010","Octubre","2010-10-31"
"341","BIF",0.9,1.42,57.67,"2010","Octubre","2010-10-31"
"342","Scotiabank",1.51,1.84,40.08,"2010","Octubre","2010-10-31"
"343","Citibank",3.16,3.78,59.15,"2010","Octubre","2010-10-31"
"344","Interbank",1.56,0.81,46.75,"2010","Octubre","2010-10-31"
"345","Mibanco",3.28,2.96,46.66,"2010","Octubre","2010-10-31"
"346","GNB",2.8,0.06,95.29,"2010","Octubre","2010-10-31"
"347","Falabella",3.69,3.6,42.91,"2010","Octubre","2010-10-31"
"348","Santander",0.26,0,69.14,"2010","Octubre","2010-10-31"
"349","Ripley",4.26,1.83,54.33,"2010","Octubre","2010-10-31"
"350","Azteca",11.75,0,58.94,"2010","Octubre","2010-10-31"
"351","Deutsche",0,0,56.7,"2010","Octubre","2010-10-31"
"352","Total Banca",1.63,1.17,43.81,"2010","Octubre","2010-10-31"
"353","BBVA",1.17,1.28,33.01,"2010","Noviembre","2010-11-30"
"354","B. del Comercio",2.5,1.41,61.17,"2010","Noviembre","2010-11-30"
"355","BCP",1.45,0.51,42.01,"2010","Noviembre","2010-11-30"
"356","B. Financiera",3.02,1.33,56.93,"2010","Noviembre","2010-11-30"
"357","BIF",0.86,1.5,56.98,"2010","Noviembre","2010-11-30"
"358","Scotiabank",1.51,1.8,40.05,"2010","Noviembre","2010-11-30"
"359","Citibank",2.76,3.79,58.52,"2010","Noviembre","2010-11-30"
"360","Interbank",1.55,0.76,46.81,"2010","Noviembre","2010-11-30"
"361","Mibanco",3.16,2.92,47.41,"2010","Noviembre","2010-11-30"
"362","GNB",2.55,0.03,95.07,"2010","Noviembre","2010-11-30"
"363","Falabella",3.56,3.4,43.2,"2010","Noviembre","2010-11-30"
"364","Santander",0.25,0,67.28,"2010","Noviembre","2010-11-30"
"365","Ripley",4.13,1.85,54.5,"2010","Noviembre","2010-11-30"
"366","Azteca",12.58,0,61.02,"2010","Noviembre","2010-11-30"
"367","Deutsche",0,0,54.9,"2010","Noviembre","2010-11-30"
"368","Total Banca",1.59,1.13,43.82,"2010","Noviembre","2010-11-30"
"369","BBVA",1.04,1.23,33.28,"2010","Diciembre","2010-12-31"
"370","B. del Comercio",1.69,1.59,58.89,"2010","Diciembre","2010-12-31"
